type,x,y
L,4.9839,5.96199
L,4.9886,5.97073
L,4.99333,5.97945
L,4.9981,5.98815
L,5.0029,5.99683
L,5.00773,6.00548
L,5.01261,6.01412
L,5.01751,6.02273
L,5.02245,6.03131
L,5.02743,6.03988
L,5.03244,6.04842
L,5.03748,6.05694
L,5.04256,6.06544
L,5.04768,6.07391
L,5.05283,6.08236
L,5.05802,6.09078
L,5.06325,6.09919
L,5.06851,6.10757
L,5.07381,6.11592
L,5.07914,6.12425
L,5.08452,6.13255
L,5.08994,6.14083
L,5.09539,6.14908
L,5.10089,6.1573
L,5.10642,6.1655
L,5.112,6.17367
L,5.11762,6.18181
L,5.12328,6.18992
L,5.12898,6.19801
L,5.13473,6.20606
L,5.14053,6.21409
L,5.14636,6.22208
L,5.15224,6.23005
L,5.15817,6.23799
L,5.16414,6.2459
L,5.17016,6.25379
L,5.17623,6.26165
L,5.18234,6.26949
L,5.18849,6.2773
L,5.1947,6.28509
L,5.20095,6.29286
L,5.20725,6.30061
L,5.2136,6.30833
L,5.22,6.31603
L,5.22645,6.32372
L,5.23294,6.33138
L,5.23949,6.33903
L,5.24609,6.34666
L,5.25273,6.35427
L,5.25943,6.36186
L,5.26617,6.36943
L,5.27297,6.37699
L,5.27982,6.38453
L,5.28671,6.39205
L,5.29366,6.39955
L,5.30066,6.40704
L,5.30771,6.41451
L,5.31481,6.42197
L,5.32196,6.42941
L,5.32917,6.43683
L,5.33642,6.44424
L,5.34373,6.45163
L,5.35109,6.45901
L,5.3585,6.46638
L,5.36596,6.47373
L,5.37347,6.48107
L,5.38103,6.48839
L,5.38864,6.49571
L,5.39631,6.50301
L,5.40402,6.5103
L,5.41178,6.51759
L,5.41959,6.52486
L,5.42745,6.53213
L,5.43535,6.53939
L,5.44331,6.54664
L,5.45131,6.55389
L,5.45936,6.56113
L,5.46746,6.56836
L,5.47561,6.57559
L,5.4838,6.58281
L,5.49204,6.59003
L,5.50032,6.59724
L,5.50865,6.60444
L,5.51702,6.61164
L,5.52544,6.61883
L,5.5339,6.62602
L,5.54241,6.63319
L,5.55095,6.64036
L,5.55954,6.64753
L,5.56818,6.65468
L,5.57685,6.66183
L,5.58556,6.66897
L,5.59432,6.6761
L,5.60311,6.68323
L,5.61195,6.69034
L,5.62082,6.69745
L,5.62973,6.70454
L,5.63868,6.71163
L,5.64767,6.71871
L,5.65669,6.72578
L,5.66575,6.73284
L,5.67485,6.73988
L,5.68397,6.74692
L,5.69314,6.75395
L,5.70233,6.76096
L,5.71156,6.76797
L,5.72082,6.77496
L,5.73011,6.78194
L,5.73944,6.78891
L,5.74879,6.79586
L,5.75818,6.8028
L,5.7676,6.80974
L,5.77704,6.81666
L,5.78652,6.82356
L,5.79603,6.83046
L,5.80558,6.83734
L,5.81515,6.84421
L,5.82475,6.85107
L,5.83438,6.85791
L,5.84405,6.86475
L,5.85374,6.87157
L,5.86347,6.87838
L,5.87322,6.88517
L,5.88301,6.89196
L,5.89282,6.89873
L,5.90267,6.90549
L,5.91254,6.91223
L,5.92244,6.91897
L,5.93238,6.92569
L,5.94234,6.9324
L,5.95232,6.93909
L,5.96234,6.94578
L,5.97239,6.95245
L,5.98246,6.95911
L,5.99256,6.96575
L,6.00268,6.97238
L,6.01284,6.979
L,6.02301,6.98561
L,6.03322,6.99221
L,6.04345,6.99879
L,6.05371,7.00536
L,6.06399,7.01192
L,6.07429,7.01848
L,6.08462,7.02502
L,6.09498,7.03156
L,6.10535,7.03809
L,6.11575,7.04461
L,6.12618,7.05113
L,6.13662,7.05765
L,6.14709,7.06416
L,6.15758,7.07068
L,6.16809,7.07719
L,6.17862,7.0837
L,6.18917,7.09021
L,6.19975,7.09672
L,6.21034,7.10324
L,6.22095,7.10975
L,6.23157,7.11627
L,6.24222,7.12279
L,6.25288,7.1293
L,6.26356,7.13582
L,6.27425,7.14234
L,6.28496,7.14886
L,6.29569,7.15538
L,6.30642,7.1619
L,6.31717,7.16843
L,6.32794,7.17495
L,6.33871,7.18147
L,6.3495,7.188
L,6.36029,7.19452
L,6.3711,7.20105
L,6.38191,7.20757
L,6.39274,7.2141
L,6.40357,7.22063
L,6.41441,7.22716
L,6.42525,7.23369
L,6.43611,7.24023
L,6.44696,7.24676
L,6.45782,7.2533
L,6.46869,7.25985
L,6.47955,7.26639
L,6.49042,7.27294
L,6.50129,7.2795
L,6.51216,7.28606
L,6.52303,7.29262
L,6.5339,7.29919
L,6.54477,7.30576
L,6.55564,7.31233
L,6.56651,7.31891
L,6.57738,7.32549
L,6.58825,7.33208
L,6.59912,7.33866
L,6.60999,7.34526
L,6.62086,7.35185
L,6.63173,7.35845
L,6.6426,7.36504
L,6.65347,7.37164
L,6.66434,7.37825
L,6.67522,7.38485
L,6.68609,7.39145
L,6.69696,7.39806
L,6.70784,7.40467
L,6.71871,7.41128
L,6.72958,7.41788
L,6.74046,7.42449
L,6.75133,7.43111
L,6.7622,7.43772
L,6.77307,7.44433
L,6.78394,7.45094
L,6.79481,7.45755
L,6.80568,7.46417
L,6.81654,7.47078
L,6.8274,7.47739
L,6.83826,7.484
L,6.84912,7.49062
L,6.85997,7.49723
L,6.87082,7.50384
L,6.88167,7.51046
L,6.89252,7.51707
L,6.90336,7.52368
L,6.91421,7.53029
L,6.92505,7.53691
L,6.93589,7.54352
L,6.94672,7.55014
L,6.95756,7.55675
L,6.9684,7.56337
L,6.97923,7.56999
L,6.99006,7.5766
L,7.0009,7.58322
L,7.01173,7.58985
L,7.02256,7.59647
L,7.03339,7.60309
L,7.04422,7.60972
L,7.05505,7.61634
L,7.06588,7.62297
L,7.0767,7.6296
L,7.08752,7.63623
L,7.09833,7.64286
